?SNDlib native format; type: network; version: 1.0
# network germany50

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  192.169.2.1 ( 6.04 50.76 )
  192.169.2.2 ( 10.90 48.33 )
  192.169.2.3 ( 11.59 49.93 )
  192.169.2.4 ( 13.39 52.52 )
  192.169.2.5 ( 8.50 52.04 )
  192.169.2.6 ( 10.55 52.28 )
  192.169.2.7 ( 8.85 53.11 )
  192.169.2.8 ( 8.58 53.54 )
  192.169.2.9 ( 12.93 50.84 )
  192.169.2.10 ( 8.65 49.89 )
  192.169.2.11 ( 7.45 51.51 )
  192.169.2.12 ( 13.73 51.03 )
  192.169.2.13 ( 6.77 51.25 )
  192.169.2.14 ( 11.04 50.98 )
  192.169.2.15 ( 7.02 51.46 )
  192.169.2.16 ( 9.45 54.77 ) IT ( 20 10240 3200 )
  192.169.2.17 ( 8.71 50.12 )
  192.169.2.18 ( 7.80 47.98 ) IT ( 20 10240 3200 )
  192.169.2.19 ( 9.69 50.56 )
  192.169.2.20 ( 8.67 50.57 )
  192.169.2.21 ( 13.40 54.09 )
  192.169.2.22 ( 9.99 53.57 )
  192.169.2.23 ( 9.72 52.38 )
  192.169.2.24 ( 7.75 49.43 )
  192.169.2.25 ( 8.41 49.01 )
  192.169.2.26 ( 9.51 51.32 )
  192.169.2.27 ( 10.32 47.72 )
  192.169.2.28 ( 10.12 54.34 )
  192.169.2.29 ( 7.52 50.40 )
  192.169.2.30 ( 6.87 50.94 )
  192.169.2.31 ( 9.18 47.66 )
  192.169.2.32 ( 12.38 51.34 )
  192.169.2.33 ( 11.64 52.14 )
  192.169.2.34 ( 8.49 49.49 )
  192.169.2.35 ( 11.57 48.15 )
  192.169.2.36 ( 7.60 51.97 )
  192.169.2.37 ( 7.21 53.60 ) IT ( 20 10240 3200 )
  192.169.2.38 ( 11.03 49.57 )
  192.169.2.39 ( 8.21 53.11 )
  192.169.2.40 ( 8.03 52.28 )
  192.169.2.41 ( 13.46 48.57 ) IT ( 20 10240 3200 )
  192.169.2.42 ( 12.09 49.00 )
  192.169.2.43 ( 7.03 49.23 )
  192.169.2.44 ( 11.45 53.55 )
  192.169.2.45 ( 8.03 50.91 )
  192.169.2.46 ( 9.10 48.74 )
  192.169.2.47 ( 6.68 49.75 )
  192.169.2.48 ( 9.99 48.40 )
  192.169.2.49 ( 6.37 51.39 )
  192.169.2.50 ( 9.97 49.78 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( 192.169.2.13 192.169.2.15 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L2 ( 192.169.2.11 192.169.2.15 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L3 ( 192.169.2.49 192.169.2.15 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L4 ( 192.169.2.30 192.169.2.13 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L5 ( 192.169.2.1 192.169.2.30 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L6 ( 192.169.2.29 192.169.2.30 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L7 ( 192.169.2.36 192.169.2.11 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L8 ( 192.169.2.45 192.169.2.11 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L9 ( 192.169.2.26 192.169.2.11 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L10 ( 192.169.2.49 192.169.2.1 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L11 ( 192.169.2.47 192.169.2.1 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L12 ( 192.169.2.5 192.169.2.36 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L13 ( 192.169.2.40 192.169.2.36 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L14 ( 192.169.2.45 192.169.2.29 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L15 ( 192.169.2.17 192.169.2.29 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L16 ( 192.169.2.24 192.169.2.29 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L17 ( 192.169.2.47 192.169.2.29 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L18 ( 192.169.2.5 192.169.2.45 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L19 ( 192.169.2.20 192.169.2.45 ) 0.00 0.00 0.00 0.00 ( 40.00 3290.00 )
  L20 ( 192.169.2.39 192.169.2.49 ) 0.00 0.00 0.00 0.00 ( 40.00 4150.00 )
  L21 ( 192.169.2.37 192.169.2.49 ) 0.00 0.00 0.00 0.00 ( 40.00 4150.00 )
  L22 ( 192.169.2.32 192.169.2.4 ) 0.00 0.00 0.00 0.00 ( 40.00 3720.00 )
  L23 ( 192.169.2.12 192.169.2.4 ) 0.00 0.00 0.00 0.00 ( 40.00 4150.00 )
